Database,Version,Table,Year,Flow,Satellite account,Unit,Region,Sector,Item,Value
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,XAM,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,XEU,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,XAF,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,XAS,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,AFG,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,AGO,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,ALB,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,ARE,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,ARG,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,ARM,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,AUS,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,AUT,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,AZE,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,BDI,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,BEL,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,BEN,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,BFA,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,BGD,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,BGR,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,BHR,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,BHS,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,BIH,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,BLR,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,BLZ,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,BOL,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,BRA,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,BRN,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,BTN,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,BWA,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,CAF,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,CAN,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,CHE,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,CHL,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,CHN,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,CIV,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,CMR,Commodity,"Electric power generation, transmission and distribution",0.0
GLORIA,0.60,SUT,2023,Intensity,GHG,kg CO2eq/current 000 US$,COD,Commodity,"Electric power generation, transmission and distribution",0.0
